Date, Time, Luminance, SolarRadiation, ClearSkyRadiation 
2015-12-02,08-20-02,148028.653411,259.0,503.10253359800726
2015-12-02,08-22-01,161264.279158,299.0,510.60090208875613
2015-12-02,08-24-01,163770.020329,302.0,518.1325660236033
2015-12-02,08-26-01,153762.020736,267.0,525.6329852717992
2015-12-02,08-28-01,123412.830603,262.0,533.100768176656
2015-12-02,08-30-01,150581.288467,265.0,540.5345424020607
2015-12-02,08-32-01,128989.988363,267.0,547.9329447897418
2015-12-02,08-34-01,127357.544279,251.0,555.2946363259002
2015-12-02,08-36-01,125109.124443,221.0,562.6182920009543
2015-12-02,08-38-02,116342.21256,206.0,569.963136581774
2015-12-02,08-40-02,118304.941232,202.0,577.2064697340828
2015-12-02,08-42-01,113637.214091,199.0,584.3480404325188
2015-12-02,08-44-02,111460.859115,197.0,591.5661032277505
2015-12-02,08-46-01,109290.189858,188.0,598.6208092693622
2015-12-02,08-48-01,109408.040686,185.0,605.6893432425095
2015-12-02,08-50-01,113999.539436,193.0,612.7110248320448
2015-12-02,08-52-01,119425.710763,199.0,619.6846596797176
2015-12-02,08-54-01,118522.043522,197.0,626.6090720421103
2015-12-02,08-56-02,110430.06965,197.0,633.5401637425019
2015-12-02,08-58-02,110979.433573,200.0,640.3622208401241
2015-12-02,09-00-02,120171.730073,225.0,647.1316073127201
2015-12-02,09-02-01,126321.993902,244.0,653.79147264628
2015-12-02,09-04-00,128193.410133,236.0,660.3973781012678
2015-12-02,09-06-01,160128.5696,248.0,667.0578927575547
2015-12-02,09-08-00,155156.89566,290.0,673.5517858688622
2015-12-02,09-10-00,165625.780282,287.0,680.0424335349888
2015-12-02,09-12-00,159522.700793,313.0,686.4739982010931
2015-12-02,09-14-01,196959.3988,332.0,692.898305923236
2015-12-02,09-16-00,160116.287353,274.0,699.1558395752273
2015-12-02,09-18-00,202003.562356,374.0,705.4041386661025
2015-12-02,09-20-00,157931.794198,352.0,711.5894017143495
2015-12-02,09-22-00,159698.643478,313.0,717.7106779325551
2015-12-02,09-24-00,196894.845761,391.0,723.7670397960604
2015-12-02,09-26-00,204562.810217,455.0,729.7575747714848
2015-12-02,09-28-00,167864.232662,359.0,735.6813895153725
2015-12-02,09-30-01,200027.639453,477.0,741.5861170327238
2015-12-02,09-32-00,201543.242108,512.0,747.3253534719371
2015-12-02,09-34-00,206295.413428,538.0,753.0438007832595
2015-12-02,09-36-01,205737.810233,552.0,758.7388904023593
2015-12-02,09-38-01,246344.87067,552.0,764.3156774477376
2015-12-02,09-40-01,244550.533401,548.0,769.8207280855347
2015-12-02,09-42-00,247641.863211,518.0,775.2083027372041
2015-12-02,09-44-00,198608.382411,552.0,780.5681993565795
2015-12-02,09-46-00,196428.841494,599.0,785.8541050653859
2015-12-02,09-48-00,193843.211231,564.0,791.0653018378816
2015-12-02,09-50-00,243285.126044,561.0,796.2010916733668
2015-12-02,09-52-00,234356.188686,512.0,801.2607898314183
2015-12-02,09-54-01,143087.702556,398.0,806.2849353490939
2015-12-02,09-56-00,70330.77602,251.0,811.149284054761
2015-12-02,09-58-00,162370.607931,281.0,815.9768107058221
2015-12-02,10-00-00,106874.156658,270.0,820.7257088308758
2015-12-02,10-01-01,100047.3689,258.0,823.1094006792208
2015-12-02,10-02-01,89903.1707622,253.0,825.4339718827023
2015-12-02,10-03-00,76721.6391267,246.0,827.7003476303988
2015-12-02,10-04-01,61955.4408067,239.0,830.0232023723704
2015-12-02,10-05-00,50849.5368089,228.0,832.2501475007942
2015-12-02,10-06-00,45962.2451689,227.0,834.4948542573819
2015-12-02,10-07-01,43319.63276,223.0,836.7562478252707
2015-12-02,10-08-00,38809.82046,221.0,838.9235547741962
2015-12-02,10-09-01,40051.1276289,218.0,841.1436457458907
2015-12-02,10-10-00,40192.2707711,214.0,843.2708811582224
2015-12-02,10-11-00,41173.88496,209.0,845.413874806983
2015-12-02,10-12-00,47423.7715556,207.0,847.5363422769036
2015-12-02,10-13-01,55206.9201022,207.0,849.6730816947093
2015-12-02,10-14-00,59016.0375556,209.0,851.7194679259408
2015-12-02,10-15-00,59599.6327044,209.0,853.7800116927311
2015-12-02,10-16-00,59385.3804911,211.0,855.8198032664689
2015-12-02,10-17-01,63011.2736067,216.0,857.8722622348081
2015-12-02,10-19-01,73438.9231267,227.0,861.8469127447713
2015-12-02,10-20-00,74792.4672889,232.0,863.7703975089231
2015-12-02,10-22-00,74329.3504689,241.0,867.6198507701178
2015-12-02,10-24-00,55105.6561755,255.0,871.3849039233849
2015-12-02,10-26-00,48051.7310511,260.0,875.0652034799277
2015-12-02,10-28-00,48747.9257944,264.0,878.6604168747203
2015-12-02,10-30-00,49039.6502583,267.0,882.1702276087972
2015-12-02,10-32-01,57077.9074083,272.0,885.6225157387685
2015-12-02,10-34-00,82393.1023945,279.0,888.9324863992005
2015-12-02,10-36-00,89712.9174111,297.0,892.1844050579801
2015-12-02,10-38-00,97067.9910911,302.0,895.3498599507723
2015-12-02,10-40-00,107411.892897,306.0,898.4286349915552
2015-12-02,10-42-00,128408.067139,316.0,901.4205318463048
2015-12-02,10-44-00,116825.711889,320.0,904.3253708084447
2015-12-02,10-46-00,144813.311456,321.0,907.1429904607752
2015-12-02,10-48-00,116371.600231,316.0,909.8732473703484
2015-12-02,10-50-00,145144.401608,304.0,912.5160165493199
2015-12-02,10-52-01,147622.730114,323.0,915.0921121885488
2015-12-02,10-54-00,113496.728089,308.0,917.5386691025765
2015-12-02,10-56-00,94057.8234578,279.0,919.9183853744809
2015-12-02,10-58-00,78085.5898067,266.0,922.2102766553731
2015-12-02,11-00-00,84581.0941695,267.0,924.414295826525
2015-12-02,11-02-01,67840.5541139,262.0,926.5476770805966
2015-12-02,11-04-01,63419.3676467,275.0,928.575139985654
2015-12-02,11-06-00,57487.0673689,279.0,930.4988771651041
2015-12-02,11-08-01,53201.7272,276.0,932.3662937513053
2015-12-02,11-10-01,63334.9860222,297.0,934.130007201401
2015-12-02,11-12-00,72465.4378833,322.0,935.7922420519449
2015-12-02,11-14-01,79674.0215028,339.0,937.3938403836592
2015-12-02,11-16-01,91209.28365,361.0,938.8940385353832
2015-12-02,11-18-01,96841.2320278,378.0,940.306488251014
2015-12-02,11-20-01,127573.838948,396.0,941.6312444153721
2015-12-02,11-22-01,141220.30918,424.0,942.8683665083357
2015-12-02,11-24-01,155543.696256,508.0,944.0179158051607
2015-12-02,11-26-01,141340.969685,446.0,945.0799566927174
2015-12-02,11-28-01,139451.316011,454.0,946.0545538079398
2015-12-02,11-30-01,152498.547883,482.0,946.9417716154112
2015-12-02,11-32-01,144654.68501,462.0,947.7416721235273
2015-12-02,11-34-01,138059.776398,471.0,948.4543156167758
2015-12-02,11-36-00,148471.923762,471.0,949.0749065900792
2015-12-02,11-38-01,173327.534677,478.0,949.618052302222
2015-12-02,11-40-01,131496.977337,445.0,950.0692435723523
2015-12-02,11-42-01,139319.375609,459.0,950.4333723723478
2015-12-02,11-44-01,220774.535868,483.0,950.7104720790253
2015-12-02,11-46-01,334765.253494,874.0,950.9005684234447
2015-12-02,11-48-01,274445.078622,937.0,951.0036796370423
2015-12-02,11-50-01,287470.578258,758.0,951.0198157533731
2015-12-02,11-52-00,464004.599061,1130.0,950.949928245895
2015-12-02,11-54-01,451542.95104,1081.0,950.7911615062637
2015-12-02,11-56-01,368277.276778,1079.0,950.5463500513902
2015-12-02,11-58-01,126915.159662,446.0,950.2145215929255
2015-12-02,12-00-01,342921.000944,782.0,949.7956460170636
2015-12-02,12-01-00,289444.922636,782.0,949.5577674754038
2015-12-02,12-02-00,355967.6834,782.0,949.2942624095562
2015-12-02,12-03-01,345375.963861,782.0,949.0040362296481
2015-12-02,12-04-01,270624.971311,782.0,948.696598411847
2015-12-02,12-05-00,354758.524333,782.0,948.3730319363106
2015-12-02,12-06-01,250825.025591,782.0,948.0163334486357
2015-12-02,12-07-01,294885.666356,624.0,947.6434924745079
2015-12-02,12-08-01,269306.179849,775.0,947.2488367695212
2015-12-02,12-09-00,243577.287982,861.0,946.8394788192304
2015-12-02,12-10-01,370815.593767,954.0,946.3940506624597
2015-12-02,12-11-00,333818.566039,954.0,945.9417529776625
2015-12-02,12-12-01,333871.36135,954.0,945.4519136448334
2015-12-02,12-13-01,328025.846683,954.0,944.9480688392414
2015-12-02,12-14-01,233273.659104,455.0,944.422362506075
2015-12-02,12-15-01,112812.086361,397.0,943.874786241461
2015-12-02,12-16-00,55736.5956373,406.0,943.31500331334
2015-12-02,12-17-00,259389.382733,406.0,942.7240291442722
2015-12-02,12-18-01,246763.114805,406.0,942.1007613492869
2015-12-02,12-19-01,64329.1874195,406.0,941.4656277831062
2015-12-02,12-20-01,52389.5831305,347.0,940.8085854762812
2015-12-02,12-22-00,286311.15704,944.0,939.4406063108323
2015-12-02,12-24-00,349903.0312,944.0,937.973777036678
2015-12-02,12-26-00,274100.46684,1048.0,936.4191766975991
2015-12-02,12-28-00,55417.5535573,352.0,934.7767596289026
2015-12-02,12-30-01,47146.4464805,297.0,933.0317009891572
2015-12-02,12-32-01,101365.4471,340.0,931.2128142555613
2015-12-02,12-34-00,215898.818684,515.0,929.3222765381418
2015-12-02,12-36-01,161693.557528,552.0,927.3113187500885
2015-12-02,12-38-01,58493.2325889,299.0,925.2287009212283
2015-12-02,12-40-00,106058.749944,308.0,923.0766364710427
2015-12-02,12-42-01,203007.333042,311.0,920.7997972717092
2015-12-02,12-44-00,285849.444253,609.0,918.4734926621485
2015-12-02,12-46-01,190052.029422,673.0,916.01958297576
2015-12-02,12-48-00,110242.430789,343.0,913.5192584095101
2015-12-02,12-50-00,233878.898948,578.0,910.910667253978
2015-12-02,12-52-01,266555.338884,608.0,908.1917248319627
2015-12-02,12-54-01,263323.26524,591.0,905.4074917875034
2015-12-02,12-56-00,214928.714848,575.0,902.5602884508027
2015-12-02,12-58-00,294593.8598,856.0,899.6024168179692
2015-12-02,13-00-01,363840.354861,895.0,896.5318735231155
2015-12-02,13-02-02,357749.591944,863.0,893.3731401432169
2015-12-02,13-04-01,286230.360342,819.0,890.1808096503072
2015-12-02,13-06-01,355580.367067,844.0,886.8757137151348
2015-12-02,13-08-01,357364.698756,886.0,883.4845669367616
2015-12-02,13-10-01,294156.385942,846.0,880.0076373122687
2015-12-02,13-12-01,235781.710468,636.0,876.4452123345599
2015-12-02,13-14-01,283548.891,557.0,872.7975978303167
2015-12-02,13-16-01,273810.037333,554.0,869.0651229610638
2015-12-02,13-18-02,229055.85499,624.0,865.2159707806263
2015-12-02,13-20-02,340939.990244,712.0,861.3141320697564
2015-12-02,13-22-01,345275.813144,803.0,857.3620916200257
2015-12-02,13-24-02,325989.906889,719.0,853.2595794073435
2015-12-02,13-26-01,336171.736211,777.0,849.1426382850063
2015-12-02,13-28-01,277221.039631,714.0,844.9089587833062
2015-12-02,13-30-02,317923.79835,703.0,840.5569492023349
2015-12-02,13-32-01,219468.857664,640.0,836.1960153697933
2015-12-02,13-34-02,215295.125333,643.0,831.6800797858612
2015-12-02,13-36-01,246717.761,571.0,827.1589504985309
2015-12-02,13-38-01,237605.825262,543.0,822.5201902941977
2015-12-02,13-40-01,234394.653173,534.0,817.802022996382
2015-12-02,13-42-01,226635.73728,515.0,813.0050276024435
2015-12-02,13-44-01,189637.738119,512.0,808.1298036559884
2015-12-02,13-46-01,192970.601163,510.0,803.1769679075542
2015-12-02,13-48-01,244259.659413,578.0,798.1471609204661
2015-12-02,13-50-01,235900.273124,585.0,793.0410369569618
2015-12-02,13-52-02,187193.33493,517.0,787.8157734719504
2015-12-02,13-54-02,181303.5968,493.0,782.5584358260072
2015-12-02,13-56-01,178095.271513,473.0,777.2716001541137
2015-12-02,13-58-01,193097.874439,483.0,771.8671370869059
2015-12-02,14-00-01,205079.331854,512.0,766.3899110642036
2015-12-02,14-01-01,200624.895186,538.0,763.6242521134708
2015-12-02,14-02-02,209171.13067,512.0,760.7941478730412
